iter	Passed	Remaining
0	0	47
1	0	43
2	1	42
3	1	42
4	2	45
5	2	43
6	3	42
7	3	41
8	3	40
9	4	39
10	4	38
11	5	37
12	5	37
13	5	36
14	6	35
15	6	35
16	7	34
17	7	34
18	8	34
19	8	35
20	9	36
21	10	36
22	10	35
23	10	34
24	11	33
25	11	33
26	11	32
27	12	31
28	12	31
29	13	30
30	13	29
31	13	29
32	14	28
33	14	28
34	15	27
35	15	27
36	15	26
37	16	26
38	16	25
39	16	25
40	17	24
41	17	24
42	17	23
43	18	23
44	18	22
45	18	22
46	19	21
47	19	21
48	20	20
49	20	20
50	20	20
51	21	19
52	21	19
53	22	18
54	22	18
55	22	17
56	23	17
57	23	16
58	23	16
59	24	16
60	24	15
61	24	15
62	25	14
63	25	14
64	26	14
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	30	8
78	31	8
79	31	7
80	31	7
81	32	7
82	32	6
83	32	6
84	33	5
85	33	5
86	34	5
87	34	4
88	34	4
89	35	3
90	35	3
91	35	3
92	36	2
93	36	2
94	36	1
95	37	1
96	37	1
97	38	0
98	38	0
99	38	0
