iter	Passed	Remaining
0	47	47848
1	48	24157
2	48	16241
3	49	12287
4	49	9917
5	50	8374
6	52	7408
7	52	6550
8	53	5872
9	53	5330
10	54	4883
11	54	4515
12	55	4199
13	55	3930
14	56	3713
15	57	3507
16	57	3327
17	57	3160
18	58	3009
19	58	2872
20	59	2750
21	59	2639
22	59	2537
23	60	2444
24	60	2361
25	60	2282
26	61	2208
27	61	2139
28	61	2074
29	62	2014
30	62	1958
31	63	1913
32	63	1864
33	63	1818
34	64	1775
35	64	1735
36	65	1698
37	65	1662
38	66	1627
39	66	1594
40	66	1561
41	67	1531
42	67	1502
43	67	1475
44	68	1451
45	68	1426
46	69	1405
47	70	1388
48	70	1369
49	71	1350
50	71	1333
51	72	1317
52	72	1298
53	73	1283
54	73	1266
55	74	1251
56	74	1237
57	75	1221
58	75	1204
59	75	1189
60	76	1174
61	76	1161
62	77	1147
63	77	1133
64	77	1120
65	78	1107
66	78	1095
67	79	1083
68	79	1072
69	79	1061
70	80	1052
71	81	1047
72	81	1037
73	82	1026
74	82	1016
75	82	1006
76	83	996
77	83	987
78	83	977
79	84	968
80	84	959
81	84	950
82	85	939
83	85	930
84	85	922
85	86	914
86	86	907
87	86	899
88	87	893
89	87	886
90	88	879
91	88	872
92	88	865
93	89	858
94	89	851
95	89	845
96	90	838
97	90	832
98	90	825
99	91	819
100	91	813
101	91	807
102	92	801
103	92	796
104	92	790
105	93	785
106	93	779
107	93	774
108	94	769
109	94	764
110	94	759
111	95	754
112	95	749
113	95	745
114	96	740
115	96	736
116	96	731
117	97	727
118	97	723
119	98	718
120	98	714
121	98	710
122	99	706
123	99	703
124	99	699
125	100	695
126	100	691
127	100	687
128	101	684
129	101	680
130	102	677
131	102	673
132	102	669
133	103	666
134	103	662
135	103	659
136	104	656
137	104	653
138	105	651
139	105	648
140	105	645
141	106	640
142	106	637
143	106	634
144	107	631
145	107	629
146	107	626
147	108	623
148	108	620
149	108	617
150	109	614
151	109	611
152	109	608
153	110	605
154	110	604
155	111	602
156	111	599
157	111	596
158	112	593
159	112	591
160	112	587
161	113	585
162	113	582
163	113	580
164	114	577
165	114	575
166	114	573
167	115	570
168	115	568
169	115	565
170	116	563
171	116	561
172	117	561
173	117	559
174	118	557
175	118	555
176	118	552
177	119	550
178	119	548
179	119	546
180	120	544
181	120	542
182	120	539
183	121	538
184	121	535
185	121	533
186	122	531
187	122	529
188	123	527
189	123	525
190	123	524
191	124	522
192	124	520
193	124	518
194	125	516
195	125	514
196	125	512
197	126	510
198	126	509
199	126	507
200	127	505
201	127	503
202	127	501
203	128	500
204	128	498
205	128	496
206	129	494
207	129	492
208	129	491
209	130	489
210	130	488
211	131	487
212	131	485
213	131	484
214	132	482
215	132	481
216	132	479
217	133	477
218	133	476
219	133	474
220	134	473
221	134	471
222	134	469
223	135	468
224	135	466
225	135	465
226	136	463
227	136	462
228	136	460
229	137	459
230	137	457
231	137	456
232	138	455
233	138	453
234	138	452
235	139	450
236	139	449
237	139	447
238	140	446
239	140	445
240	140	443
241	141	442
242	141	441
243	141	439
244	142	438
245	142	437
246	143	436
247	143	434
248	143	433
249	144	432
250	144	430
251	144	429
252	145	428
253	145	427
254	145	425
255	146	424
256	146	423
257	146	422
258	147	421
259	147	420
260	147	418
261	148	417
262	148	416
263	148	415
264	149	414
265	149	412
266	149	411
267	150	410
268	150	409
269	150	408
270	151	407
271	151	405
272	152	404
273	152	403
274	152	402
275	153	402
276	153	400
277	153	399
278	154	398
279	154	397
280	155	396
281	155	395
282	155	394
283	156	393
284	156	392
285	156	391
286	157	390
287	157	389
288	157	388
289	158	387
290	158	386
291	159	385
292	159	384
293	159	383
294	160	382
295	160	381
296	160	380
297	161	379
298	161	378
299	161	377
300	162	376
301	162	375
302	162	374
303	163	373
304	163	372
305	163	371
306	164	370
307	164	370
308	165	369
309	165	368
310	165	367
311	166	366
312	166	365
313	166	364
314	167	363
315	167	362
316	168	362
317	168	361
318	168	360
319	169	359
320	169	358
321	169	357
322	170	356
323	172	358
324	172	358
325	172	357
326	173	356
327	173	355
328	173	354
329	174	353
330	174	353
331	175	352
332	175	351
333	176	350
334	176	350
335	176	349
336	177	348
337	177	347
338	178	347
339	178	346
340	178	345
341	179	344
342	179	343
343	179	342
344	180	342
345	180	341
346	180	340
347	181	339
348	181	338
349	181	337
350	182	337
351	182	336
352	183	335
353	183	334
354	183	333
355	184	333
356	184	332
357	184	331
358	185	330
359	185	329
360	186	329
361	186	328
362	187	329
363	188	328
364	188	328
365	188	327
366	189	326
367	189	325
368	190	324
369	190	324
370	190	323
371	191	322
372	191	322
373	191	321
374	192	320
375	192	320
376	193	319
377	193	318
378	193	317
379	194	316
380	194	316
381	194	315
382	195	314
383	195	313
384	195	312
385	196	312
386	196	311
387	196	310
388	197	309
389	197	309
390	197	308
391	198	307
392	198	306
393	198	305
394	199	305
395	199	304
396	199	303
397	200	302
398	200	302
399	201	302
400	201	301
401	202	300
402	202	300
403	203	299
404	203	298
405	203	298
406	204	297
407	204	296
408	204	295
409	205	295
410	205	294
411	205	293
412	206	293
413	206	292
414	207	292
415	207	291
416	208	290
417	208	290
418	209	289
419	209	289
420	209	288
421	210	287
422	210	287
423	210	286
424	211	285
425	211	285
426	212	284
427	212	283
428	212	283
429	213	282
430	213	281
431	213	281
432	214	280
433	214	280
434	215	279
435	215	278
436	215	278
437	216	277
438	216	277
439	217	276
440	217	275
441	217	275
442	218	274
443	218	273
444	219	273
445	219	272
446	219	271
447	220	271
448	220	270
449	221	270
450	221	270
451	222	269
452	222	269
453	223	268
454	223	268
455	224	267
456	224	267
457	225	266
458	225	265
459	225	265
460	226	264
461	226	264
462	227	263
463	227	262
464	228	262
465	229	262
466	229	261
467	229	261
468	230	260
469	230	260
470	231	259
471	231	258
472	231	258
473	232	257
474	232	257
475	233	256
476	233	256
477	234	256
478	234	255
479	235	254
480	235	254
481	236	253
482	236	253
483	236	252
484	237	252
485	237	251
486	238	251
487	238	250
488	239	250
489	239	249
490	240	248
491	240	248
492	240	247
493	241	247
494	241	246
495	242	246
496	243	245
497	244	246
498	244	245
499	245	245
500	245	244
501	246	244
502	246	243
503	247	243
504	247	242
505	248	242
506	248	241
507	249	241
508	249	240
509	250	240
510	250	239
511	251	239
512	251	239
513	252	238
514	253	238
515	253	237
516	254	237
517	254	236
518	254	236
519	255	235
520	255	234
521	255	234
522	256	233
523	256	233
524	256	232
525	257	231
526	257	231
527	258	230
528	258	230
529	260	231
530	261	230
531	261	230
532	262	229
533	262	229
534	263	228
535	263	228
536	264	227
537	264	227
538	264	226
539	265	226
540	265	225
541	266	224
542	266	224
543	267	223
544	267	223
545	267	222
546	268	222
547	268	221
548	269	221
549	269	220
550	270	220
551	270	219
552	271	219
553	271	218
554	271	217
555	272	217
556	272	216
557	273	216
558	273	215
559	273	215
560	274	214
561	274	213
562	274	213
563	275	212
564	275	212
565	275	211
566	276	211
567	277	211
568	278	210
569	278	210
570	279	210
571	280	209
572	282	210
573	283	210
574	283	209
575	284	209
576	284	208
577	284	207
578	285	207
579	285	206
580	286	206
581	286	205
582	287	205
583	287	204
584	287	204
585	288	203
586	288	203
587	289	202
588	289	202
589	290	201
590	290	201
591	291	200
592	294	202
593	297	203
594	299	203
595	300	203
596	301	203
597	301	202
598	301	202
599	302	201
600	302	200
601	303	200
602	303	199
603	304	199
604	305	199
605	306	199
606	307	198
607	307	198
608	308	197
609	308	197
610	308	196
611	309	195
612	309	195
613	309	194
614	310	194
615	310	193
616	310	193
617	311	192
618	312	192
619	313	191
620	313	191
621	313	190
622	314	190
623	315	189
624	316	189
625	316	189
626	317	188
627	317	188
628	318	187
629	318	186
630	318	186
631	319	185
632	319	185
633	320	184
634	320	184
635	320	183
636	321	183
637	321	182
638	322	181
639	322	181
640	322	180
641	323	180
642	323	179
643	323	179
644	324	178
645	324	177
646	325	177
647	325	176
648	326	176
649	326	175
650	327	175
651	327	175
652	328	174
653	329	174
654	329	173
655	330	173
656	333	174
657	334	173
658	334	173
659	336	173
660	336	172
661	337	172
662	338	171
663	338	171
664	339	170
665	339	170
666	340	169
667	340	169
668	341	168
669	341	168
670	342	167
671	342	167
672	343	166
673	343	166
674	343	165
675	344	164
676	344	164
677	345	164
678	345	163
679	346	162
680	346	162
681	347	161
682	347	161
683	347	160
684	348	160
685	348	159
686	349	159
687	349	158
688	349	157
689	350	157
690	350	156
691	351	156
692	351	155
693	352	155
694	352	154
695	353	154
696	353	153
697	354	153
698	354	152
699	354	152
700	355	151
701	356	151
702	356	150
703	357	150
704	357	149
705	357	149
706	358	148
707	358	147
708	359	147
709	359	146
710	360	146
711	360	145
712	360	145
713	361	144
714	361	144
715	362	143
716	362	143
717	362	142
718	363	141
719	363	141
720	363	140
721	364	140
722	364	139
723	365	139
724	365	138
725	366	138
726	367	137
727	367	137
728	367	136
729	368	136
730	368	135
731	369	135
732	369	134
733	369	134
734	370	133
735	370	132
736	370	132
737	371	131
738	372	131
739	372	131
740	373	130
741	373	129
742	374	129
743	374	128
744	374	128
745	375	127
746	375	127
747	376	126
748	376	126
749	376	125
750	377	125
751	377	124
752	378	124
753	378	123
754	378	122
755	379	122
756	379	121
757	380	121
758	380	120
759	381	120
760	381	119
761	382	119
762	382	118
763	383	118
764	383	117
765	383	117
766	384	116
767	384	116
768	385	115
769	385	115
770	385	114
771	386	114
772	386	113
773	386	112
774	387	112
775	387	111
776	388	111
777	388	110
778	388	110
779	389	109
780	390	109
781	390	108
782	390	108
783	391	107
784	391	107
785	391	106
786	392	106
787	392	105
788	393	105
789	393	104
790	393	104
791	394	103
792	394	103
793	395	102
794	395	101
795	395	101
796	396	100
797	397	100
798	397	99
799	397	99
800	398	98
801	398	98
802	399	97
803	399	97
804	399	96
805	400	96
806	400	95
807	400	95
808	402	95
809	403	94
810	403	94
811	404	93
812	404	93
813	405	92
814	406	92
815	406	91
816	407	91
817	407	90
818	407	90
819	408	89
820	408	89
821	409	88
822	409	88
823	409	87
824	410	87
825	410	86
826	411	86
827	411	85
828	412	85
829	413	84
830	413	84
831	414	83
832	414	83
833	415	82
834	415	82
835	416	81
836	416	81
837	417	80
838	417	80
839	417	79
840	418	79
841	418	78
842	420	78
843	421	77
844	422	77
845	423	77
846	423	76
847	424	76
848	424	75
849	424	74
850	425	74
851	425	73
852	426	73
853	426	72
854	427	72
855	427	71
856	428	71
857	428	70
858	428	70
859	429	69
860	429	69
861	429	68
862	430	68
863	430	67
864	431	67
865	431	66
866	432	66
867	432	65
868	432	65
869	433	64
870	433	64
871	433	63
872	434	63
873	434	62
874	434	62
875	435	61
876	435	61
877	435	60
878	436	60
879	436	59
880	437	59
881	437	58
882	438	58
883	438	57
884	438	57
885	439	56
886	439	56
887	440	55
888	440	54
889	441	54
890	441	54
891	442	53
892	442	53
893	443	52
894	443	52
895	444	51
896	444	51
897	444	50
898	445	50
899	445	49
900	446	49
901	446	48
902	447	48
903	447	47
904	447	47
905	448	46
906	448	46
907	449	45
908	449	45
909	449	44
910	450	44
911	450	43
912	451	43
913	451	42
914	452	41
915	452	41
916	452	40
917	453	40
918	453	39
919	454	39
920	454	38
921	454	38
922	455	37
923	455	37
924	455	36
925	456	36
926	457	35
927	457	35
928	458	35
929	458	34
930	459	34
931	459	33
932	459	33
933	460	32
934	460	32
935	461	31
936	461	31
937	462	30
938	462	30
939	462	29
940	463	29
941	463	28
942	464	28
943	464	27
944	464	27
945	465	26
946	465	26
947	466	25
948	466	25
949	467	24
950	468	24
951	469	23
952	470	23
953	470	22
954	471	22
955	472	21
956	472	21
957	472	20
958	473	20
959	473	19
960	474	19
961	474	18
962	475	18
963	475	17
964	476	17
965	476	16
966	476	16
967	477	15
968	477	15
969	478	14
970	478	14
971	479	13
972	479	13
973	480	12
974	480	12
975	481	11
976	481	11
977	482	10
978	482	10
979	482	9
980	483	9
981	483	8
982	484	8
983	484	7
984	485	7
985	485	6
986	485	6
987	486	5
988	486	5
989	487	4
990	488	4
991	488	3
992	489	3
993	489	2
994	490	2
995	491	1
996	491	1
997	492	0
998	492	0
999	492	0
